transcription,hypothesis,confusion,score
book a maharashtrian restaurant please,well <unk> restaurant please,book <eps> ; a well ; maharashtrian <unk> ; restaurant restaurant ; please please,1.0
what time is the lottery man playing,what time is the lottery man plain,what what ; time time ; is is ; the the ; lottery lottery ; man man ; playing plain,1.0
will it snowstorm neighboring the rio grande wild and scenic river on feb  the second,well it  's no still neighboring the rio grande divided in scenic river on february the second,will well ; it it ; <eps> 's ; <eps> no ; snowstorm still ; neighboring neighboring ; the the ; rio rio ; grande grande ; wild divided ; and in ; scenic scenic ; river river ; on on ; feb february ; the the ; second second,1.0
please let me know the weather forecast in louisiana state,please let me know the weather forecast in louisiana state,please please ; let let ; me me ; know know ; the the ; weather weather ; forecast forecast ; in in ; louisiana louisiana ; state state,1.0
put this artist in pachangueo total,put this artist input <unk> title,put put ; this this ; artist artist ; in input ; pachangueo <unk> ; total title,1.0
play the catholic sun album,play the catholic some album,play play ; the the ; catholic catholic ; sun some ; album album,1.0
rate this album 2 of 6,right this album too is six,rate right ; this this ; album album ; 2 too ; of is ; 6 six,1.0
for my té para tres list add cut the world,so my date bought address list i got the woods,for so ; my my ; té date ; para bought ; tres address ; list list ; add i ; cut got ; the the ; world woods,1.0
find the mary van note show,find them merry van note show,find find ; the them ; mary merry ; van van ; note note ; show show,1.0
what is the weather forecast 131 days from now in atanassow-see,what  's the weather forecast one hundred and thirty one days from now in a tone associate,what what ; is 's ; the the ; weather weather ; forecast forecast ; <eps> one ; <eps> hundred ; <eps> and ; <eps> thirty ; 131 one ; days days ; from from ; now now ; in in ; <eps> a ; <eps> tone ; atanassow-see associate,1.0
can you play deezer from 2007,can you played these are from two thousand seven,can can ; you you ; <eps> played ; play these ; deezer are ; from from ; <eps> two ; <eps> thousand ; 2007 seven,1.0
make a reservation for 7 people at a gastropub on isle of man,make a reservation for seven people as a <unk> lot of men,make make ; a a ; reservation reservation ; for for ; 7 seven ; people people ; at as ; a a ; gastropub <eps> ; on <unk> ; isle lot ; of of ; man men,1.0
rate this  textbook 2 of 6 stars,right this textbook two of <unk>,rate right ; this this ; textbook textbook ; 2 two ; of of ; 6 <eps> ; stars <unk>,1.0
find a table close by in the downtown area for sherri and i,find a table close by in the downtown area for sherry and i,find find ; a a ; table table ; close close ; by by ; in in ; the the ; downtown downtown ; area area ; for for ; sherri sherry ; and and ; i i,1.0
add this song to my playlist named britpop  etc,i disowned them i play list named brett bobby d c,add i ; this disowned ; song them ; to i ; my play ; playlist list ; named named ; <eps> brett ; <eps> bobby ; britpop d ; etc c,1.0
add the song by brian larsen to the cardio playlist,at the song by brian loss into the <unk>,add at ; the the ; song song ; by by ; brian brian ; larsen loss ; to into ; the the ; cardio <eps> ; playlist <unk>,1.0
i d like a table for three at black rapids roadhouse on february 24th  2039,oh i do like a table for three <unk> roadhouse on february twenty <unk> twenty thirty nine,<eps> oh ; i i ; d do ; like like ; a a ; table table ; for for ; three three ; at <eps> ; black <eps> ; rapids <unk> ; roadhouse roadhouse ; on on ; february february ; <eps> twenty ; <eps> <unk> ; <eps> twenty ; 24th thirty ; 2039 nine,1.0
book reservations at the laurelhurst theater for a party of 7,book reservations at the low <unk> for a policy of seven,book book ; reservations reservations ; at at ; the the ; laurelhurst low ; theater <unk> ; for for ; a a ; party policy ; of of ; 7 seven,1.0
i want to book the best steakhouse with south american cuisines in alaska,i went to book the best steak house with south american cuisines in alaska,i i ; want went ; to to ; book book ; the the ; best best ; <eps> steak ; steakhouse house ; with with ; south south ; american american ; cuisines cuisines ; in in ; alaska alaska,1.0
find a united paramount theatres and movie times at 4 a m,find a united paramount theaters and movie times at four a m,find find ; a a ; united united ; paramount paramount ; theatres theaters ; and and ; movie movie ; times times ; at at ; 4 four ; a a ; m m,1.0
will it be stormy in charleston,well let me show me in charleston,<eps> well ; will let ; it me ; be show ; stormy me ; in in ; charleston charleston,1.0
get me a table at prospect of whitby in blaine hill  id,get me a table at prospective we  'd be in blaine july day,get get ; me me ; a a ; table table ; at at ; <eps> prospective ; prospect we ; of 'd ; whitby be ; in in ; blaine blaine ; hill july ; id day,1.0
i give the following part of the series one out of 6,i give the following part of the series one out of six,i i ; give give ; the the ; following following ; part part ; of of ; the the ; series series ; one one ; out out ; of of ; 6 six,1.0
play the music from the playlist get lit,play the music from the <unk>,play play ; the the ; music music ; from from ; the the ; playlist <eps> ; get <eps> ; lit <unk>,1.0
i want to book the clarke cooke house in uzbekistan,i want to book the clark cook house and it was <unk>,i i ; want want ; to to ; book book ; the the ; clarke clark ; cooke cook ; house house ; <eps> and ; <eps> it ; in was ; uzbekistan <unk>,1.0
look for the kiss the girls game,look for the case the girl  's game,look look ; for for ; the the ; kiss case ; the the ; <eps> girl ; girls 's ; game game,1.0
please find me the work  instrumental directions,please fine to me the work instrumental directions,please please ; <eps> fine ; find to ; me me ; the the ; work work ; instrumental instrumental ; directions directions,1.0
book a restaurant in michigan for 4 people,that could restaurants in michigan so full of people,book that ; a could ; restaurant restaurants ; in in ; michigan michigan ; <eps> so ; for full ; 4 of ; people people,1.0
i m trying to find the game called give me my remote,i am trying to find the game called give me my remote,i i ; m am ; trying trying ; to to ; find find ; the the ; game game ; called called ; give give ; me me ; my my ; remote remote,1.0
table for eight at the berghoff in sistersville in jul,table for eight at the burn coughing sisters will in july,table table ; for for ; eight eight ; at at ; the the ; <eps> burn ; berghoff coughing ; in sisters ; sistersville will ; in in ; jul july,1.0
what s the forecast for sai thong national park at 02:59 pm,well that  's the full costs for sauce on national pocket two fifty nine p m,<eps> well ; what that ; s 's ; the the ; <eps> full ; forecast costs ; for for ; sai sauce ; thong on ; national national ; <eps> pocket ; <eps> two ; park fifty ; at nine ; 02:59 p ; pm m,1.0
add track 70s smash hits to my,at <unk> seventies <unk>,add <eps> ; track <eps> ; 70s <eps> ; smash at ; hits <unk> ; to seventies ; my <unk>,1.0
put kurt cobain onto korean osts,<unk> <unk> <unk> do  n't to korea no s t s,<eps> <unk> ; <eps> <unk> ; <eps> <unk> ; <eps> do ; <eps> n't ; put to ; kurt korea ; cobain no ; onto s ; korean t ; osts s,1.0
list movie times at general cinema corporation,least movie time  's a general cinema corporation,list least ; movie movie ; <eps> time ; times 's ; at a ; general general ; cinema cinema ; corporation corporation,1.0
is it cold in pw,is it cold in pete w,is is ; it it ; cold cold ; in in ; <eps> pete ; pw w,1.0
play a track by ishmon bracey on iheart,play <unk>,play play ; a <eps> ; track <eps> ; by <eps> ; ishmon <eps> ; bracey <eps> ; on <eps> ; iheart <unk>,1.0
play socialism is good by terje bakken on spotify,me socialism is good <unk>,play me ; socialism socialism ; is is ; good good ; by <eps> ; terje <eps> ; bakken <eps> ; on <eps> ; spotify <unk>,1.0
i want to book a spot at the local food court,i want to book a spot at the local food court,i i ; want want ; to to ; book book ; a a ; spot spot ; at at ; the the ; local local ; food food ; court court,1.0
when is dead birds playing,when he was dead birds playing,when when ; <eps> he ; is was ; dead dead ; birds birds ; playing playing,1.0
i need a weather forecast for laos at one am,i need a weather forecast for laughs at one time,i i ; need need ; a a ; weather weather ; forecast forecast ; for for ; laos laughs ; at at ; one one ; am time,1.0
show the swan princess,showed this one princess,show showed ; the this ; swan one ; princess princess,1.0
give 1 stars to book mr ponsonby,the one starts to book <unk>,give the ; 1 one ; stars starts ; to to ; book book ; mr <eps> ; ponsonby <unk>,1.0
find the closest showing of the taste of others at a cinema,find the closest showing of the taste of others that just send them uh,find find ; the the ; closest closest ; showing showing ; of of ; the the ; taste taste ; of of ; others others ; <eps> that ; <eps> just ; at send ; a them ; cinema uh,1.0
add a song by  mark schultz to my ultimate indie playlist,i just song by mark shields do my uh timid and deeply list,add i ; a just ; song song ; by by ; mark mark ; schultz shields ; to do ; my my ; <eps> uh ; <eps> timid ; ultimate and ; indie deeply ; playlist list,1.0
what movies are at loews cineplex,what movies are at lowes cineplex,what what ; movies movies ; are are ; at at ; loews lowes ; cineplex cineplex,1.0
play dick marx,play dick marks,play play ; dick dick ; marx marks,1.0
what movies are playing in the area,what movies are playing in the area,what what ; movies movies ; are are ; playing playing ; in in ; the the ; area area,1.0
i d like to see showings for all the way home at kerasotes theatres,oh i do like to see showings for all the way home <unk>,<eps> oh ; i i ; d do ; like like ; to to ; see see ; showings showings ; for for ; all all ; the the ; way way ; home home ; at <eps> ; kerasotes <eps> ; theatres <unk>,1.0
give me the weather forecast for the city of archie,give me the weather forecast for the city of archie,give give ; me me ; the the ; weather weather ; forecast forecast ; for for ; the the ; city city ; of of ; archie archie,1.0
is gods of metal playing,is god  's of metal playing,is is ; <eps> god ; gods 's ; of of ; metal metal ; playing playing,1.0
tell me the weather forecast for azerbaijan,tell me the weather forecast for azerbaijan,tell tell ; me me ; the the ; weather weather ; forecast forecast ; for for ; azerbaijan azerbaijan,1.0
rate the eighth day three stars out of 6,right the <unk> out of six,rate right ; the the ; eighth <eps> ; day <eps> ; three <eps> ; stars <unk> ; out out ; of of ; 6 six,1.0
book a reservation for a pub serving gateau in ms,book a reservation for a pub serving ghetto and ms,book book ; a a ; reservation reservation ; for for ; a a ; pub pub ; serving serving ; gateau ghetto ; in and ; ms ms,1.0
which movies are being screened around here,which movies are being screened around here,which which ; movies movies ; are are ; being being ; screened screened ; around around ; here here,1.0
assign 0 points out of 6 to the gate of worlds,assigned zero points out of six to the gate of worlds,assign assigned ; 0 zero ; points points ; out out ; of of ; 6 six ; to to ; the the ; gate gate ; of of ; worlds worlds,1.0
give me a link to the saga called copper – justice is brutal,give me a link to the saga cold <unk> justice is brutal,give give ; me me ; a a ; link link ; to to ; the the ; saga saga ; called <eps> ; copper cold ; – <unk> ; justice justice ; is is ; brutal brutal,1.0
add ivan mane jarnowick to fusion fest,i do  n't have a main john doe fusion fest,<eps> i ; <eps> do ; <eps> n't ; add have ; ivan a ; mane main ; jarnowick john ; to doe ; fusion fusion ; fest fest,1.0
what movie theatre has a matter of wife    and death,what movie theater has a matter of life and death,what what ; movie movie ; theatre theater ; has has ; a a ; matter matter ; of of ; wife life ; and and ; death death,1.0
book cova in frisco city for me and therese at eight pm,book kobe and 'frisco city for me in theresa eight pm,book book ; cova kobe ; in and ; frisco 'frisco ; city city ; for for ; me me ; and <eps> ; therese in ; at theresa ; eight eight ; pm pm,1.0
find the schedule for movies at harkins theatres,find the shed some movies that how can see it is,find find ; the the ; schedule shed ; for some ; movies movies ; <eps> that ; <eps> how ; <eps> can ; at see ; harkins it ; theatres is,1.0
the feel good indie rock playlist needs another song,the feel good indie rock platelets needs another song,the the ; feel feel ; good good ; indie indie ; rock rock ; playlist platelets ; needs needs ; another another ; song song,1.0
please book me a restaurant reservation at first watch in douglas  maine,please put me in a restaurant reservation at fast watching douglas maine,please please ; book put ; me me ; <eps> in ; a a ; restaurant restaurant ; reservation reservation ; at at ; first <eps> ; watch fast ; in watching ; douglas douglas ; maine maine,1.0
give death on the nile a three,give death on the <unk>,give give ; death death ; on on ; the the ; nile <eps> ; a <eps> ; three <unk>,1.0
tell me the humidity index for elizabethville  indiana,tell me the humidity in <unk> indiana,tell tell ; me me ; the the ; humidity humidity ; index <eps> ; for in ; elizabethville <unk> ; indiana indiana,1.0
play chant music by david cook,play <unk> music by david cook,play play ; chant <unk> ; music music ; by by ; david david ; cook cook,1.0
give the current album 1 star,keep the <unk>,give keep ; the the ; current <eps> ; album <eps> ; 1 <eps> ; star <unk>,1.0
book a restaurant for 4 that s not far from ca,look or restaurants a full day that  's not far from c i a,<eps> look ; book or ; a restaurants ; restaurant a ; for full ; 4 day ; that that ; s 's ; not not ; far far ; from from ; <eps> c ; <eps> i ; ca a,1.0
rate bestiary of dragons and giants four of 6,great best jerry of dragons and giants four of six,<eps> great ; rate best ; bestiary jerry ; of of ; dragons dragons ; and and ; giants giants ; four four ; of of ; 6 six,1.0
i d like for you to add owen biddle to my old school death metal playlist,i do like for you to idaho and middle to my old school death metal <unk>,i i ; d do ; like like ; for for ; you you ; to to ; add idaho ; owen and ; biddle middle ; to to ; my my ; old old ; school school ; death death ; metal metal ; playlist <unk>,1.0
play some music from 1993 on itunes,play some music from nineteen ninety three <unk>,play play ; some some ; music music ; from from ; <eps> nineteen ; 1993 ninety ; on three ; itunes <unk>,1.0
can you let me know when troopers three is scheduled,can you let me know when <unk>,can can ; you you ; let let ; me me ; know know ; when when ; troopers <eps> ; three <eps> ; is <eps> ; scheduled <unk>,1.0
will it be sunny on june 1  2021 in bathgate,well it  'd be sunny on june first twenty twenty one and bought the gate,will well ; it it ; <eps> 'd ; be be ; sunny sunny ; on on ; june june ; <eps> first ; <eps> twenty ; <eps> twenty ; <eps> one ; 1 and ; 2021 bought ; in the ; bathgate gate,1.0
i rate this essay a four of 6,i write this essay of four six,i i ; rate write ; this this ; essay essay ; a of ; four four ; of <eps> ; 6 six,1.0
i d like to watch the tv show hola mary lou: prom night ii,i do like to watch the t v show on them <unk> from ninety,i i ; d do ; like like ; to to ; watch watch ; the the ; tv t ; show v ; hola show ; mary on ; lou: them ; prom <unk> ; night from ; ii ninety,1.0
will there be fog on march 3  2038 in bonaire,well there  'll be fog on march third twenty thirty eight and bond there,will well ; there there ; <eps> 'll ; be be ; fog fog ; on on ; march march ; <eps> third ; <eps> twenty ; <eps> thirty ; 3 eight ; 2038 and ; in bond ; bonaire there,1.0
book the light horse tavern for 4 people,both the light horse tavern for for people,book both ; the the ; light light ; horse horse ; tavern tavern ; for for ; 4 for ; people people,1.0
find a television show called servidor apache,find a television show called <unk>,find find ; a a ; television television ; show show ; called called ; servidor <eps> ; apache <unk>,1.0
find the schedule for films at the douglas theatre company,find the shed useless ends at the douglas theatre company,find find ; the the ; schedule shed ; for useless ; films ends ; at at ; the the ; douglas douglas ; theatre theatre ; company company,1.0
add best of uetoaya to wild country,uh <unk> country,add <eps> ; best <eps> ; of <eps> ; uetoaya <eps> ; to uh ; wild <unk> ; country country,1.0
find movie times for century theatres,find a movie times for century theaters,find find ; <eps> a ; movie movie ; times times ; for for ; century century ; theatres theaters,1.0
play apbl98 by alden penner,play a p b l ninety eight by olden painter,play play ; <eps> a ; <eps> p ; <eps> b ; <eps> l ; <eps> ninety ; apbl98 eight ; by by ; alden olden ; penner painter,1.0
find face the truth  a tv show,find faced the truth a t v show,find find ; face faced ; the the ; truth truth ; a a ; <eps> t ; tv v ; show show,1.0
what are the movie times of films in the neighbourhood,well to the movie times of films in the neighborhood,what well ; are to ; the the ; movie movie ; times times ; of of ; films films ; in in ; the the ; neighbourhood neighborhood,1.0
i give the flash series 0 out of 6,i gave the flesh theories zero out of six,i i ; give gave ; the the ; flash flesh ; series theories ; 0 zero ; out out ; of of ; 6 six,1.0
rate the book whit a zero,played the book <unk>,rate played ; the the ; book book ; whit <eps> ; a <eps> ; zero <unk>,1.0
add kloden drejer to my listas de éxitos playlist,clothing <unk> play list,add <eps> ; kloden <eps> ; drejer <eps> ; to <eps> ; my <eps> ; listas clothing ; de <unk> ; éxitos play ; playlist list,1.0
when can iw atch great balls of fire - vampate di fuoco,when can i w arch great falls a fire <unk> loco,when when ; can can ; <eps> i ; iw w ; atch arch ; great great ; balls falls ; of a ; fire fire ; - <eps> ; vampate <eps> ; di <unk> ; fuoco loco,1.0
where is the closest movie house playing films now,where is the closest movie house playing films now,where where ; is is ; the the ; closest closest ; movie movie ; house house ; playing playing ; films films ; now now,1.0
tell me the weather forecast for apr  twenty-fourth  2028 in san diego,tell me the weather forecast for april twenty fourth twenty twenty eight and san diego,tell tell ; me me ; the the ; weather weather ; forecast forecast ; for for ; <eps> april ; <eps> twenty ; <eps> fourth ; apr twenty ; twenty-fourth twenty ; 2028 eight ; in and ; san san ; diego diego,1.0
can you locate the novel  ismol family,can you locate the novel in small family,can can ; you you ; locate locate ; the the ; novel novel ; <eps> in ; ismol small ; family family,1.0
book a spot for 6 at a gateau restaurant,focused spot for six at a ghetto restaurant,book <eps> ; a focused ; spot spot ; for for ; 6 six ; at at ; a a ; gateau ghetto ; restaurant restaurant,1.0
for this book i rate four points,for this book one rate for points,for for ; this this ; book book ; i one ; rate rate ; four for ; points points,1.0
rate the why is sex fun saga two of 6,made the <unk>,rate made ; the the ; why <eps> ; is <eps> ; sex <eps> ; fun <eps> ; saga <eps> ; two <eps> ; of <eps> ; 6 <unk>,1.0
in the neighbourhood find movies starting in thirteen hours,in the neighborhood find movies starting in thirteen hours,in in ; the the ; neighbourhood neighborhood ; find find ; movies movies ; starting starting ; in in ; thirteen thirteen ; hours hours,1.0
rate this textbook a 5,right this textbook <unk>,rate right ; this this ; textbook textbook ; a <eps> ; 5 <unk>,1.0
find home fires,find home fires,find find ; home home ; fires fires,1.0
what is the coulee city mt forecast,what is the <unk> forecast,what what ; is is ; the the ; coulee <eps> ; city <eps> ; mt <unk> ; forecast forecast,1.0
rat the current textbook a two out of 6 points,that  's a current textbook or two ounce of six points,<eps> that ; rat 's ; the a ; current current ; textbook textbook ; a or ; two two ; out ounce ; of of ; 6 six ; points points,1.0
i want to book a restaurant in bosnia and herzegovina,i wonder if we  'll go to restaurant in bosnia and hudson <unk>,i i ; <eps> wonder ; <eps> if ; want we ; to 'll ; book go ; a to ; restaurant restaurant ; in in ; bosnia bosnia ; and and ; <eps> hudson ; herzegovina <unk>,1.0
i m looking for the show pulse 2: afterlife,i am looking for the show close do afterlife,i i ; m am ; looking looking ; for for ; the the ; show show ; pulse close ; 2: do ; afterlife afterlife,1.0
play music on last fm,play music on <unk>,play play ; music music ; on on ; last <eps> ; fm <unk>,1.0
can you play the greatest sarah brightman song,can you play the <unk>,can can ; you you ; play play ; the the ; greatest <eps> ; sarah <eps> ; brightman <eps> ; song <unk>,1.0
i need to reserve a table for my baby and i at a tibetan tavern,i need to reserve a table for my baby and i at a tibetan tavern,i i ; need need ; to to ; reserve reserve ; a a ; table table ; for for ; my my ; baby baby ; and and ; i i ; at at ; a a ; tibetan tibetan ; tavern tavern,1.0
i would rate the codebreakers a rating of 6 and a value of 2,i would rate decode breakers a rating of sex and the value of too,i i ; would would ; rate rate ; the decode ; codebreakers breakers ; a a ; rating rating ; of of ; 6 sex ; and and ; a the ; value value ; of of ; 2 too,1.0
find a table at a joint with northern brazilian food in ga,find a table letter joined with northern brazilian food and go,find find ; a a ; table table ; at <eps> ; a letter ; joint joined ; with with ; northern northern ; brazilian brazilian ; food food ; in and ; ga go,1.0
where is the nearest movie house that is playing teaching to see,where is the nearest movie house that he  's playing teaching to say,where where ; is is ; the the ; nearest nearest ; movie movie ; house house ; that that ; <eps> he ; is 's ; playing playing ; teaching teaching ; to to ; see say,1.0
give one to this novel,give <unk>,give give ; one <eps> ; to <eps> ; this <eps> ; novel <unk>,1.0
show the blue meaning television show,show the blue meaning television show,show show ; the the ; blue blue ; meaning meaning ; television television ; show show,1.0
what animated movies can i see at malco theatres,well it  's animated movies can i see a <unk>,<eps> well ; <eps> it ; what 's ; animated animated ; movies movies ; can can ; i i ; see see ; at <eps> ; malco a ; theatres <unk>,1.0
what will be the wind speed around pembina gorge state recreation area october the 27th,what will be the wind speed around <unk> recreation area type but the twenty seven,what what ; will will ; be be ; the the ; wind wind ; speed speed ; around around ; pembina <eps> ; gorge <eps> ; state <unk> ; recreation recreation ; area area ; <eps> type ; october but ; the the ; <eps> twenty ; 27th seven,1.0
add the artist gougoush to the soul revived playlist,ideology <unk> list,add <eps> ; the <eps> ; artist <eps> ; gougoush <eps> ; to <eps> ; the <eps> ; soul ideology ; revived <unk> ; playlist list,1.0
book a table for 5 at a pub during my macedonia trip that serves czech food,book a table for five at a pub during my macedonia trip that serves checked food,book book ; a a ; table table ; for for ; 5 five ; at at ; a a ; pub pub ; during during ; my my ; macedonia macedonia ; trip trip ; that that ; serves serves ; czech checked ; food food,1.0
i want to find the very best of chicago: only the beginning,i wanted to find the very best of chicago only the beginning,i i ; want wanted ; to to ; find find ; the the ; very very ; best best ; of of ; chicago: chicago ; only only ; the the ; beginning beginning,1.0
play greatest chant music from beni arashiro,play greatest chat music from benny irish era,play play ; greatest greatest ; chant chat ; music music ; from from ; <eps> benny ; beni irish ; arashiro era,1.0
what is the weather like in montchanin  nv,what is the weather like in <unk> and they,what what ; is is ; the the ; weather weather ; like like ; in in ; <eps> <unk> ; montchanin and ; nv they,1.0
find animated movies nearby,find animated movies nearby,find find ; animated animated ; movies movies ; nearby nearby,1.0
add artist abdel halim hafez to my conexiones playlist,i <unk> play list,add <eps> ; artist <eps> ; abdel <eps> ; halim <eps> ; hafez <eps> ; to i ; my <unk> ; conexiones play ; playlist list,1.0
i m in tuolumne city and want fast food for a party of eight,i am in <unk> city in one fast food for the body of feet,i i ; m am ; in in ; tuolumne <unk> ; city city ; and in ; want one ; fast fast ; food food ; for for ; a the ; party body ; of of ; eight feet,1.0
what is the weather like in phnom sankos wildlife sanctuary,what is the weather like in <unk> wildlife sanctuary,what what ; is is ; the the ; weather weather ; like like ; in in ; phnom <eps> ; sankos <unk> ; wildlife wildlife ; sanctuary sanctuary,1.0
make me a reservation that serves kebab at a delicatessen in ambler,make me a reservation that serves <unk> delicatessen in ambler,make make ; me me ; a a ; reservation reservation ; that that ; serves serves ; kebab <eps> ; at <eps> ; a <unk> ; delicatessen delicatessen ; in in ; ambler ambler,1.0
can you find me the assassination of jesse james by the coward robert ford saga,can you find me the assassination of jesse james by the coward rabbit food saga,can can ; you you ; find find ; me me ; the the ; assassination assassination ; of of ; jesse jesse ; james james ; by by ; the the ; coward coward ; robert rabbit ; ford food ; saga saga,1.0
book a bakery that serves souvlaki for tomorrow,that could they agree that seven super lucky for tomorrow,<eps> that ; book could ; a they ; bakery agree ; that that ; <eps> seven ; serves super ; souvlaki lucky ; for for ; tomorrow tomorrow,1.0
give this saga a 4,give this i  'll go for,give give ; this this ; <eps> i ; saga 'll ; a go ; 4 for,1.0
what is the weather forecast for kinbrae,what is the weather focus <unk>,what what ; is is ; the the ; weather weather ; forecast <eps> ; for focus ; kinbrae <unk>,1.0
show me the photograph rock you baby,so i made a photograph <unk> baby,show so ; me i ; the made ; photograph a ; rock photograph ; you <unk> ; baby baby,1.0
take me to the top-rated taverna in sealy for trattoria next week for 5,take me to the top rated to verna <unk> next week for fun,take take ; me me ; to to ; the the ; top-rated <eps> ; taverna top ; in rated ; sealy to ; for verna ; trattoria <unk> ; next next ; week week ; for for ; 5 fun,1.0
put this tune on guest list take,put this chewing on guests lists take,put put ; this this ; tune chewing ; on on ; guest guests ; list lists ; take take,1.0
rate the current essay 5 of 6 points,right the current essay five of six points,rate right ; the the ; current current ; essay essay ; 5 five ; of of ; 6 six ; points points,1.0
play a song from helena iren michaelsen on spotify,say a song from <unk>,play say ; a a ; song song ; from from ; helena <eps> ; iren <eps> ; michaelsen <eps> ; on <eps> ; spotify <unk>,1.0
book now at a bakery at a spa,book now at a bakery at a spa,book book ; now now ; at at ; a a ; bakery bakery ; at at ; a a ; spa spa,1.0
will it be warmer at sunrise in jeffrey city,will it be warmer at sunrise and geoffrey city,will will ; it it ; be be ; warmer warmer ; at at ; sunrise sunrise ; in and ; jeffrey geoffrey ; city city,1.0
play playlist riveting,say playing this riveting,<eps> say ; play playing ; playlist this ; riveting riveting,1.0
what will the weather be at noon in durbin oh,what will the whether it be at noon and durban now,what what ; will will ; the the ; <eps> whether ; weather it ; be be ; at at ; noon noon ; in and ; durbin durban ; oh now,1.0
what do the movie schedules at b&b theatres look like,what did the movie schedules at bay and basically says look like,what what ; do did ; the the ; movie movie ; schedules schedules ; at at ; <eps> bay ; <eps> and ; b&b basically ; theatres says ; look look ; like like,1.0
find a television show called tiny dancer,find a television show called tiny dancer,find find ; a a ; television television ; show show ; called called ; tiny tiny ; dancer dancer,1.0
i want a table for eight in yakima rhode island,i wanted a table for eight in yet come uh rhode island,i i ; want wanted ; a a ; table table ; for for ; eight eight ; in in ; <eps> yet ; <eps> come ; yakima uh ; rhode rhode ; island island,1.0
list all the movies playing in the area now,missed the older movies playing in the area now,list missed ; all the ; the older ; movies movies ; playing playing ; in in ; the the ; area area ; now now,1.0
can you put this track onto classic jazz funk,can you put this track onto a classic jazz fong,can can ; you you ; put put ; this this ; track track ; onto onto ; <eps> a ; classic classic ; jazz jazz ; funk fong,1.0
please add chris frantz to pop rising list,leave that response to bulk rising list,please <eps> ; add leave ; chris that ; frantz response ; to to ; pop bulk ; rising rising ; list list,1.0
show me the schedule of dead snow,show me the schedule of <unk>,show show ; me me ; the the ; schedule schedule ; of of ; dead <eps> ; snow <unk>,1.0
what is the overcast forecast for torrey pines state beach,what  's his <unk> state beach,what what ; is <eps> ; the <eps> ; overcast <eps> ; forecast <eps> ; for 's ; torrey his ; pines <unk> ; state state ; beach beach,1.0
will the weather be warm far from niger at 15 o clock,well the weather be warm far from niger at fifteen o clock,will well ; the the ; weather weather ; be be ; warm warm ; far far ; from from ; niger niger ; at at ; 15 fifteen ; o o ; clock clock,1.0
i want to listen to the soundtrack and then there was light,i want to listen to the soundtrack and then there was a lot,i i ; want want ; to to ; listen listen ; to to ; the the ; soundtrack soundtrack ; and and ; then then ; there there ; was was ; <eps> a ; light lot,1.0
i d like to watch movies at amco entertainment,i do like to watch movies at em entertainment,i i ; d do ; like like ; to to ; watch watch ; movies movies ; at at ; amco em ; entertainment entertainment,1.0
rate the next essay five of 6,<unk> five of six,rate <eps> ; the <eps> ; next <eps> ; essay <unk> ; five five ; of of ; 6 six,1.0
i d like to eat at the best restaurant in coalton,oh i do like three to the best restaurants in cold too,<eps> oh ; i i ; d do ; like like ; to <eps> ; eat three ; at to ; the the ; best best ; restaurant restaurants ; in in ; <eps> cold ; coalton too,1.0
when was the album start a fire released,when was the album starts a fine released,when when ; was was ; the the ; album album ; start starts ; a a ; fire fine ; released released,1.0
play music by artist mark ashley,play music by <unk>,play play ; music music ; by by ; artist <eps> ; mark <eps> ; ashley <unk>,1.0
i want to play the game guitar heaven     the greatest guitar classics of all time,i want to play the game guitar heaven the greatest guitar classics of all time,i i ; want want ; to to ; play play ; the the ; game game ; guitar guitar ; heaven heaven ; the the ; greatest greatest ; guitar guitar ; classics classics ; of of ; all all ; time time,1.0
what s the weather in piperton rwanda,what is the weather in piper did  n't rwanda,what what ; s is ; the the ; weather weather ; in in ; <eps> piper ; <eps> did ; piperton n't ; rwanda rwanda,1.0
add lisa to my playlist street dance,add lisa to my platelets street dance,add add ; lisa lisa ; to to ; my my ; playlist platelets ; street street ; dance dance,1.0
show movie crossgenesis,she  'll movie cross genesis,<eps> she ; show 'll ; movie movie ; <eps> cross ; crossgenesis genesis,1.0
add the artist to my southern gothic playlist,at the artists too my southern gothic play list,add at ; the the ; artist artists ; to too ; my my ; southern southern ; gothic gothic ; <eps> play ; playlist list,1.0
what is the weather forecast for new mexico,what is the weather forecast for new mexico,what what ; is is ; the the ; weather weather ; forecast forecast ; for for ; new new ; mexico mexico,1.0
play a sixties song,play a sixty song,play play ; a a ; sixties sixty ; song song,1.0
search for the dark side of the mind movie,search for the dark side of the mind movie,search search ; for for ; the the ; dark dark ; side side ; of of ; the the ; mind mind ; movie movie,1.0
show the minutes to midnight photograph,showed the minutes to midnight photograph,show showed ; the the ; minutes minutes ; to to ; midnight midnight ; photograph photograph,1.0
is it warm in califon  tunisia,is it warm and calif on tunisia,is is ; it it ; warm warm ; <eps> and ; in calif ; califon on ; tunisia tunisia,1.0
find movie schedule in pacific theatres,find the movie  's schedule in pacific theaters,find find ; <eps> the ; movie movie ; <eps> 's ; schedule schedule ; in in ; pacific pacific ; theatres theaters,1.0
i rate the current textbook a 0 of 6,i write the current textbook a zero if sakes,i i ; rate write ; the the ; current current ; textbook textbook ; a a ; 0 zero ; of if ; 6 sakes,1.0
